cmplid,odino,mfr_name,maketxt,modeltxt,yeartxt,crash,faildate,fire,injured,deaths,compdesc,city,state,vin,datea,ldate,miles,occurences,cdescr,cmpl_type,police_rpt_yn,purch_dt,orig_owner_yn,anti_brakes_yn,cruise_cont_yn,num_cyls,drive_train,fuel_sys,fuel_type,trans_type,veh_speed,dot,tire_size,loc_of_tire,tire_fail_type,orig_equip_yn,manuf_dt,seat_type,restraint_type,dealer_name,dealer_tel,dealer_city,dealer_state,dealer_zip,prod_type,repaired_yn,medical_attn,vehicles_towed_yn,ingestion_timestamp,source_name,source_file
718163,10267176,"BMW of North America, LLC",MINI,COOPER S,2005,N,20060816,N,0,0,AIR BAGS:FRONTAL,CANTONMENT,FL,WMWRE33525T,20090428,20090428,15000,1,"AIRBAG LIGHT COMES ON (INDICATING AIRBAG SYSTEM MALFUNCTION/INOP.) AND AUTO MANUFACTURER HAS NO FIX, DEFINITELY A SAFETY PROBLEM.  2005 MINI COOPER. *TR",IVOQ,N,null,N,N,N,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,V,null,N,N,2026-04-03T19:09:10.570Z,nhtsa_vehicle_complaints,FLAT_CMPL.txt
718164,10267178,Toyota Motor Corporation,TOYOTA,FJ CRUISER,2007,N,20090402,N,0,0,STRUCTURE:BODY,HIGHLANDS RANCH,CO,JTEBU11F270,20090428,20090428,29300,1,"THE INNER FENDER WALL OF MY FJ CRUISER IS BENDING AND BASED ON OTHERS WITH THIS ISSUE IT WILL SOON CRACK, THE INNER FENDER WALL WILL MOVE AND IMPEDE THE MOVEMENT OF THE DOORS. THIS IS A DESIGN DEFECT AND TOYOTA SHOULD ISSUE A RECALL. *TR",IVOQ,N,null,N,N,N,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,V,null,N,N,2026-04-03T19:09:10.570Z,nhtsa_vehicle_complaints,FLAT_CMPL.txt
718165,10267175,Ford Motor Company,FORD,FOCUS,2005,N,20080616,N,0,0,SUSPENSION,LA PLATA,MO,1FAFP34N65W,20090428,20090428,64000,1,"I PURCHASED MY USED VEHICLE IN 06/08 AND IMMEDIATELY THERE WERE ISSUES WITH THE TIRES.  I TOOK IT BACK TO THE DEALERSHIP AND THEY AGREED TO REPLACE ""ONE BAD TIRE"".  IN ORDER TO KEEP ALL THE TIRES IN GOOD AND EQUAL CONDITION I PURCHASED THREE MORE.  OVER THE PAST 10 MONTHS IT HAS BEEN BACK TO THE DEALERSHIP THREE TIMES FOR ""ALIGNMENT ISSUES"" AND TO A PRIVATE ALIGNMENT SHOP FOR THE SAME ISSUE.  EXTENSIVE RESEARCH ONLINE HAS INDICATED THAT THERE IS A ""KNOWN ISSUE"" WITH THE FORD FOCUS THAT ALLOWS A ""GENEROUS"" SPREAD FOR ALIGNMENT SPECS.  AS LONG AS IT CAN BE ALIGNED WITHIN FORD'S SPECS IT IS CONSIDERED ACCEPTABLE, HOWEVER THE TIRES CONTINUE TO WEAR UNEVENLY CAUSING VIBRATION AND INCORRECT TREAD WEAR.  I WAS TOLD BY FORD TODAY THAT THEY DON'T KNOW WHAT THE ""NUMBER IS"" BUT THAT THEY ARE ALLOWED TO DO NOTHING UNTIL THAT ""MAGIC NUMBER"" IS REACHED.  EVIDENTLY THEY HAVE ALSO ISSUED A ""SILENT RECALL"" THAT ALLOWS ONLY THOSE VEHICLES THAT CANNOT BE ADJUSTED TO THEIR ""GENEROUS"" SPECS TO BE REPAIRED.  THIS IS NOT ONLY A POTENTIAL SAFETY ISSUE WHEN IT COMES TO TIRE WEAR BUT AFFECTS TRACKING IN SNOW AND WATER WHICH ALSO HEIGHTENS RISK. *TR",IVOQ,N,null,N,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,V,null,N,N,2026-04-03T19:09:10.570Z,nhtsa_vehicle_complaints,FLAT_CMPL.txt
718166,10267177,"General Motors, LLC",CHEVROLET,TRAVERSE,2009,N,20090420,N,0,0,VISIBILITY:POWER WINDOW DEVICES AND CONTROLS,TROY,MI,1GNER23D49S,20090428,20090428,4500,1,"2009 CHEVROLET TRAVERSE 2LT: ""EXTREME"" VIBRATION OCCURRING WHEN THE BACK PASSENGER WINDOW IS ROLLED DOWN MORE THAN A COUPLE OF INCHES. THIS CAR CAN ""NOT"" BE DRIVEN WITH THE BACK PASSENGER WINDOW DOWN. THE AMOUNT OF VIBRATION IS AMAZING AFFECTING THE ENTIRE VEHICLE WITH EXTREME RESONANCE - VERY SCARY!!! *TR",IVOQ,N,null,N,N,N,null,null,null,null,null,45,null,null,null,null,null,null,null,null,null,null,null,null,null,V,null,N,N,2026-04-03T19:09:10.570Z,nhtsa_vehicle_complaints,FLAT_CMPL.txt
718167,10267179,"General Motors, LLC",CHEVROLET,SUBURBAN 1500,2004,N,20090420,N,0,0,ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL,BAKERSFIELD,CA,null,20090428,20090428,45000,1,I NOTICED WHILE I WAS DRIVING THAT THE SPEEDOMETER SEEMED A LITTLE OFF AND I WAS CORRECT IT STARTS AT 10MPH AND WHILE   DRIVING ITS ABOUT 13 MPH OFF. *TR,IVOQ,N,null,N,N,N,null,null,null,null,null,65,null,null,null,null,null,null,null,null,null,null,null,null,null,V,null,N,N,2026-04-03T19:09:10.570Z,nhtsa_vehicle_complaints,FLAT_CMPL.txt
718168,10267181,Ford Motor Company,FORD,ESCAPE,2005,N,20090420,N,0,0,ELECTRICAL SYSTEM:IGNITION:ANTI-THEFT:CONTROL MODULE,HACKETTSTOWN,NJ,null,20090428,20090428,106500,1,I HAVE A 2005 ESCAPE.  WHEN I AM DRIVING THE THEFT LIGHT GOES ON AND THE VEHICLE STALLS. *TR,IVOQ,N,null,N,N,N,null,null,null,null,null,30,null,null,null,null,null,null,null,null,null,null,null,null,null,V,null,N,N,2026-04-03T19:09:10.570Z,nhtsa_vehicle_complaints,FLAT_CMPL.txt
718169,10267171,Toyota Motor Corporation,TOYOTA,HIGHLANDER,2006,N,20060328,N,0,0,POWER TRAIN:AUTOMATIC TRANSMISSION,MANASSAS,VA,null,20090428,20090428,null,1,"AUTOMATIC TRANSMISSION ON MY 2006 TOYOTA HIGHLANDER W/ 3.4 LITER ENGINE HAS HESITATION WHEN SHIFTING DOWN TO 2ND OR 1ST GEAR, E.G., STEPPING ON THE GAS FROM A COMPLETE STOP TO TURN AGAINST ON-COMING TRAFFIC. THERE IS A DISCONCERTING MOMENT OF HESITATION BEFORE THE TRANSMISSION SEEMS TO ENGAGE. DEALER TOLD ME IT IS NORMAL DUE TO THE FLY-BY-WIRE TECHNOLOGY. I DON'T BELIEVE IT AND I AM CONCERNED ABOUT IT'S SAFETY. I AM ALSO WORRIED THAT I WAITED THIS LONG TO BRING IT UP BECAUSE THE CAR HAS 35,550 MILES ON IT AND THE WARRANTY IS ABOUT TO RUN OUT. I HAVE HEARD THIS FROM OTHER HIGHLANDER OWNERS TOO. *TR",IVOQ,N,null,N,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,V,null,N,N,2026-04-03T19:09:10.570Z,nhtsa_vehicle_complaints,FLAT_CMPL.txt
718170,10267174,Toyota Motor Corporation,TOYOTA,TUNDRA,2000,N,20090427,N,0,0,STRUCTURE:FRAME AND MEMBERS,WEBSTER,MA,5TBBT4816YS,20090428,20090428,208597,1,"AFTER HEARING THE COMPLAINTS ABOUT THE 2000 TOYOTA TUNDRA, I DECIDED TO PUT MY 2000 TUNDRA UP ON A LIFT. BOY WHAT A SURPRISE I HAVE 55 PICTURES OF PROBLEM AREAS THAT ARE VERY CONCERNING.  THERE IS A 3"" SECTION ON THE DRIVERS SIDE FRAME RAIL BY THE FRONT OF THE LEAF SPRING CARRIAGE HOLDER THAT IS WAVY IT IS VISIBLE IN THE PICS THAT IS HOW BAD IT IS.  MAJOR RUST ALL ALONG THE PASSENGER SIDE OF THE FRAME RAIL FROM FRONT TO REAR.  BEFORE LOWERING THE TRUCK ALL THE WAY I LOOKED AT THE TOP OF THE FRONT SHOCK HOLDER AND WAS NOT IMPRESSED WITH THE AMOUNT OF RUST THAT IS EATEN THROUGH AT THIS POINT. *TR",IVOQ,N,null,N,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,V,null,N,N,2026-04-03T19:09:10.570Z,nhtsa_vehicle_complaints,FLAT_CMPL.txt
718171,10267174,Toyota Motor Corporation,TOYOTA,TUNDRA,2000,N,20090427,N,0,0,SUSPENSION:FRONT,WEBSTER,MA,5TBBT4816YS,20090428,20090428,208597,1,"AFTER HEARING THE COMPLAINTS ABOUT THE 2000 TOYOTA TUNDRA, I DECIDED TO PUT MY 2000 TUNDRA UP ON A LIFT. BOY WHAT A SURPRISE I HAVE 55 PICTURES OF PROBLEM AREAS THAT ARE VERY CONCERNING.  THERE IS A 3"" SECTION ON THE DRIVERS SIDE FRAME RAIL BY THE FRONT OF THE LEAF SPRING CARRIAGE HOLDER THAT IS WAVY IT IS VISIBLE IN THE PICS THAT IS HOW BAD IT IS.  MAJOR RUST ALL ALONG THE PASSENGER SIDE OF THE FRAME RAIL FROM FRONT TO REAR.  BEFORE LOWERING THE TRUCK ALL THE WAY I LOOKED AT THE TOP OF THE FRONT SHOCK HOLDER AND WAS NOT IMPRESSED WITH THE AMOUNT OF RUST THAT IS EATEN THROUGH AT THIS POINT. *TR",IVOQ,N,null,N,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,V,null,N,N,2026-04-03T19:09:10.570Z,nhtsa_vehicle_complaints,FLAT_CMPL.txt
718172,10267182,Toyota Motor Corporation,TOYOTA,TUNDRA,2000,N,20090416,N,0,0,STRUCTURE:FRAME AND MEMBERS,TILTON,NH,5TBBT4411YS,20090428,20090428,83430,1,"2000 TOYOTA TUNDRA W/83000 MILES WENT IN FOR INSPECTION AT TOYOTA DEALERSHIP AND FAILED TO PASS DUE TO REAR CROSS MEMBERS PERFORATED VERY BAD, SPRING SHACKET AT FRAME IN ROUGH SHAPE, PASSENGER SIDE FRAME RAIL ROTTEN W/ PERFORATIONS.  THE TRUCK IS NOW USELESS AND IS ONLY 8 YRS. OLD. TRADE OR SALE IS NOT POSSIBLE.   DEALERSHIP SAYS REPAIRS ARE $3K TO $5K AND ONLY GOOD FOR 2 YRS.  TOYOTA CORP OFFERS NO HELP, THEY GAVE ME A CASE #. *TR",IVOQ,N,null,N,N,N,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,V,null,N,N,2026-04-03T19:09:10.570Z,nhtsa_vehicle_complaints,FLAT_CMPL.txt
