state,fuel_type_code,station_count,ev_level1_points,ev_level2_points,ev_dc_fast_points
NJ,LPG,16,0,0,0
ND,LPG,19,0,0,0
ND,E85,41,0,0,0
HI,ELEC,452,28,1006,189
NM,ELEC,511,14,762,562
HI,HY,2,0,0,0
ID,ELEC,273,17,479,280
GA,CNG,47,0,0,0
BC,ELEC,2964,29,6578,2477
PE,ELEC,179,0,330,23
UT,E85,3,0,0,0
BC,BD,1,0,0,0
FL,LNG,4,0,0,0
TX,HY,1,0,0,0
MA,HY,1,0,0,0
CT,BD,1,0,0,0
VA,LNG,2,0,0,0
AL,CNG,23,0,0,0
PA,LPG,98,0,0,0
MN,E85,396,0,0,0
MN,LPG,52,0,0,0
PA,CNG,71,0,0,0
UT,LPG,41,0,0,0
IL,LPG,93,0,0,0
DE,ELEC,265,5,531,303
WA,CNG,22,0,0,0
SK,LPG,74,0,0,0
BC,LPG,122,0,0,0
MN,BD,287,0,0,0
MT,RD,1,0,0,0
BC,LNG,2,0,0,0
MD,LNG,1,0,0,0
DC,CNG,2,0,0,0
TN,E85,98,0,0,0
IA,BD,362,0,0,0
OH,ELEC,2114,44,4344,1518
WY,CNG,8,0,0,0
NV,ELEC,685,17,1794,1169
ND,ELEC,115,1,136,150
AR,E85,79,0,0,0
PR,ELEC,33,0,56,3
WV,BD,2,0,0,0
OH,BD,4,0,0,0
LA,BD,1,0,0,0
NB,LPG,5,0,0,0
NT,ELEC,14,0,14,9
QC,HY,5,0,0,0
CO,BD,6,0,0,0
ID,LNG,1,0,0,0
CO,LNG,1,0,0,0
NJ,HY,1,0,0,0
ON,HY,2,0,0,0
UT,LNG,1,0,0,0
CT,LPG,22,0,0,0
NC,BD,112,0,0,0
CA,BD,483,0,0,0
MO,E85,144,0,0,0
WA,ELEC,3177,158,7035,2082
FL,E85,199,0,0,0
HI,BD,14,0,0,0
MI,ELEC,2162,17,4374,1650
IL,ELEC,1878,53,3602,2514
WV,ELEC,217,21,394,219
ON,ELEC,5627,4,14333,2801
LA,E85,25,0,0,0
NE,ELEC,331,1,501,237
DC,HY,1,0,0,0
WV,CNG,2,0,0,0
SC,BD,6,0,0,0
MI,HY,1,0,0,0
RI,BD,1,0,0,0
MS,BD,3,0,0,0
PA,HY,1,0,0,0
WA,LNG,2,0,0,0
NY,HY,1,0,0,0
AR,CNG,12,0,0,0
OR,CNG,11,0,0,0
WY,LPG,18,0,0,0
AR,LPG,44,0,0,0
MI,LPG,115,0,0,0
CA,LPG,253,0,0,0
TN,ELEC,1268,43,2429,991
NY,LPG,51,0,0,0
NC,CNG,37,0,0,0
TX,LNG,12,0,0,0
MA,ELEC,4512,33,10016,1785
VA,ELEC,2069,235,4657,1738
CA,HY,74,0,0,0
NH,ELEC,331,9,527,324
NB,ELEC,323,0,449,193
AK,ELEC,86,3,124,99
NM,CNG,12,0,0,0
DC,BD,9,0,0,0
NY,RD,2,0,0,0
OR,BD,78,0,0,0
SC,CNG,12,0,0,0
NT,LPG,1,0,0,0
WY,LNG,2,0,0,0
GA,BD,3,0,0,0
NY,CNG,44,0,0,0
FL,LPG,135,0,0,0
UT,ELEC,1056,26,2351,803
AB,LPG,146,0,0,0
BC,HY,10,0,0,0
AL,E85,52,0,0,0
IN,CNG,34,0,0,0
SD,LPG,16,0,0,0
MI,CNG,17,0,0,0
CA,LNG,36,0,0,0
ID,E85,4,0,0,0
WI,LNG,1,0,0,0
CO,HY,2,0,0,0
CA,CNG,328,0,0,0
